ExternalId,BetlabEventKey,NameLng1,NameText1,NameLng2,NameText2,GroupCommentLng1,GroupCommentText1,GroupCommentLng2,GroupCommentText2
31224962,PT5:PR23:PR576:1523903400,en,Bundesliga|:Mainz 05 - SC Freiburg,ru,Бундеслига|:Майнц - Фрайбург,,,,
31227432,PT1102:PR56594:PR33776:1522285200,en,|Kofu:Aksu Ayla - Raina Ankita,ru,|Кофу:Аксу Айла - Раина Анкита,,,,
31239797,PT2792:PR128685:PR106987:1522296000,en,|DAC:VGJ.Thunder - Effect,ru,|DAC:VGJ.Thunder - Effect,,,,
31225455,PT33:PR1061:PR4486:1523808000,en,Premier League|:FC Rostov - SKA-Khabarovsk,ru,Премьер-Лига|:Ростов - СКА-Хабаровск,,,,
31229605,PT3143:PR71340:1526736600,en,Bundesliga. Futures|Football. Bundesliga 2017/18:Borussia Dortmund,ru,Бундеслига. Итоги|Футбол. Бундеслига 2017/18:Боруссия Д.,,,,
31227070,PT888:PR14553:PR36568:1522594800,en,TFF First League|:Eskisehirspor - Balikesirspor,ru,Лига 1|:Эскишехирспор - Балыкеширспор,,,,
31231445,PT4682:PR142021:PR142022:1522382400,en,Fishing. Ukrainian Fishing League|Specials. 2018. 1st stage. Which team will score more points:Bass - АМК,ru,Рыбалка. Украинская рыболовная лига|Разное. 2018. 1-й этап. Кто наберёт больше баллов:Басс - АМК,ru,| остальные пары по запросу,,
31231263,PT4399:PR297:PR63820:1522277700,en,Additional outcomes|Miami:Williams Venus - Collins Danielle Rose,ru,Дополнительные исходы|Майами:Уильямс Венус - Коллинз Даниель Роуз,,,,
31228267,PT2347:PR30054:PR6877:1522486800,en,Premier League|:Akjayik - Irtysh Pavlodar,ru,Премьер-Лига|:Акжайык - Иртыш Павлодар,,,,
31231178,PT4335:PU11154049:1540972800,en,James Bond|Entertaint:Next James Bond after Daniel Craig.,ru,Джеймс Бонд|:Следующий Джеймс Бонд после Дэниэла Крейга. ,,,,
31229266,PT2923:PR16609:1529226000,en,ACB League 2017/18. Futures|:Tenerife CB Canarias,ru,Лига ACB 2017/18. Итоги|:КБ Канариас,ru,остальные по запросу,en,Others on request
31224981,PT6:PR45:PR35:1522773000,en,Serie A|:Udinese - Fiorentina,ru,Серия А|:Удинезе - Фиорентина,,,,
31225793,PT72:PR2759:PR46:1522348200,en,Serie B|:Avellino - Parma,ru,Серия В|:Авеллино - Парма,,,,
31225450,PT33:PR1060:PR338:1524069000,en,Premier League|:Zenit St Petersburg - Dynamo Moscow,ru,Премьер-Лига|:Зенит Ст.Петербург - Динамо Москва,,,,
31227135,PT914:PU12815497:1522342800,en,MAXIMA LOTTO. 5 from 45|LOTO:Тираж №1457 ,ru,ЛОТО МАКСИМА. 5 из 45|:Тираж №1457 ,ru,официальный сайт: www.lottery.com.ua,,
31228835,PT2579:PR10016:1527791400,en,European Challenge Cup|Futures:Gloucester(ENG),ru,Европейский кубок вызова|Итоги:Глостер(ENG),,,,
31225077,PT8:PR72:PR3245:1522593900,en,Eredivisie|:Feyenoord - Excelsior Rotterdam,ru,Eredivisie|:Фейеноорд - Эксельсиор Роттердам,,,,
31239934,PT3304:PR76187:1523111400,en,Indian Premier League|. Futures:Royal Challengers Bangalore,ru,Премьер-лига|Итоги:Ройал Челленджерс Бангалор,,,,
31230462,PT3443:PU12782006:1522287000,en,Baloto. 6 from 45|:28/03/18,ru,Baloto. 6 из 45|:28/03/18 ,,,,
31225811,PT74:PR32654:PR1474:1522793700,en,Copa Libertadores|:Real Garcilaso(PER) - Nacional Montevideo(URY),ru,Кубок Либертадорес|:Реал Гарсиласо(PER) - Насьональ Монтевидео(URY),,,,
31230474,PT3451:PU12815509:1522281300,en,Keno. 20 from 80|:Drawn №15381,ru,Keno. 20 из 80|:Тираж №15381 ,,,,
31229598,PT3131:PR98063:1526234400,en,Primera Division. Futures|Football. Division 2017/18:Leganes,ru,Примера Дивизион. Итоги|Футбол. 2017/18:Леганес,,,,
31229386,PT2938:PR76762:PR101249:1522328400,en,Serie D|:Sestri Levante - Rignanese,ru,Серия D|:Сестри-Леванте - Риньянесе,,,,
31227673,PT2215:PR12321:PR30829:1522488600,en,New South Wales|National Premier Leagues:Sydney United 58 - Sydney FC (youth),ru,Новый Южный Уэльс|Национальная Премьер-лига:Сидней Юнайтед - Сидней (мол.),,,,
31225664,PT65:PR15912:PR25556:1522576800,en,Segunda Division|:Sevilla Atletico - Barcelona II,ru,Сегунда|:Севилья Атлетико - Барселона-2,,,,
31224888,PT2:PR353:PR534:1523193300,en,Premier League|:Arsenal FC - Southampton,ru,Премьер-Лига|:Арсенал Лондон - Саутгемптон,,,,
31226544,PT599:PR13911:1538373600,en,NRL|Futures:New Zealand Warriors,ru,NRL|Регби-лига. Итоги:Нью Зиланд Уорриорз,,,,
31225206,PT16:PR861:PR855:1522677600,en,Super League|:Lausanne-Sport - Lugano,ru,Суперлига|:Лозанна - Лугано,,,,
31224896,PT2:PR541:PR534:1522504800,en,Premier League|:West Ham - Southampton,ru,Премьер-Лига|:Вест Хэм - Саутгемптон,,,,
31226238,PT462:PR9453:PR9462:1522343700,en,Erste Bank Liga|:EC Red Bull Salzburg - EHC Black Wings Linz,ru,Erste Bank Liga|:Зальцбург - Линц,,,,
31227724,PT2220:PR51327:PR46838:1522315800,en,Tercera|:Los Yebenes - Atletico Pinto,ru,Терсера|:Лос-Ебенес - Атлетико Пинто,,,,
31225500,PT38:PR639:PR715:1522350000,en,Euroleague|:Saski Baskonia(ESP) - Maccabi Tel Aviv(ISR),ru,Евролига|:Баскония(ESP) - Маккаби Тель-Авив(ISR),,,,
31227071,PT888:PR1794:PR1795:1522594800,en,TFF First League|:Denizlispor - Ankaragucu,ru,Лига 1|:Денизлиспор - Анкарагюджю,,,,
31226890,PT814:PR24001:PR36775:1522772400,en,AFC Champions League|:Al Ahli Jeddah(SAU) - Tractor Sazi Tabriz(IRN),ru,Лига Чемпионов Азии|:Аль-Ахли Джидда(SAU) - Трактор Сази(IRN),,,,
31226420,PT573:PR48:PR991:1522600200,en,Primera Division. Stats|:match stat Malaga - match stat Villarreal,ru,Примера дивизион. Статистика|:стат.матч Малага - стат.матч Вильярреал,,,,
31229347,PT2938:PR85998:PR85437:1522328400,en,Serie D|:Caratese - ASDC Gozzano,ru,Серия D|:Каратезе - Годзано,,,,
31224957,PT5:PR575:PR28704:1523808000,en,Bundesliga|:Werder Bremen - RB Leipzig,ru,Бундеслига|:Вердер - РБ Лейпциг,,,,
31227509,PT1123:PR133636:PR133625:1522278000,en,NBA. Stats. 3-PA|:Philadelphia 3 point field goals - New York 3 point field goals,ru,NBA. Статистика. 3-х очковые|:Филадельфия 3-х очк. попадания - Нью-Йорк 3-х очк. попадания,,,,
31229831,PT3154:PR71600:1526821200,en,Serie A. Futures|Football:Cagliari,ru,Серия А. Итоги|Футбол. А 2017/18:Кальяри,ru,сезон 2017/18,,
31225961,PT375:PR43997:PR18279:1522674000,en,Superettan|:IK Frej - Norrby IF,ru,Superettan|:ИК Фрей - Норрбю,,,,
31225658,PT65:PR5104:PR999:1522598400,en,Segunda Division|:Almeria - Sporting Gijon,ru,Сегунда|:Альмерия - Спортинг Хихон,,,,
31227491,PT1119:PR66326:PR74761:1522501200,en,Super Liga|:Borac Cacak - FK Macva Sabac,ru,Суперлига|:Борац Чачак - Мачва,,,,
